,Claim Reference,Policy Year,Policy Description,Directorate Description,Department Name,Incident Date,Notification Date,Status Flag,Payment Year,Payment Date,Payment Type, Amount,Cause Description,Injury Description,Damage Description
2194,N5PUL000096,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2015-07-25,2015-07-28,CLOSED,2016,2016-08-01,Compensation payment,2639.33,Carriageway - Pothole,Ankle Broken/fractured,
2195,N4PUL000142,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,Parks,2014-06-01,2014-09-18,CLOSED,2016,2016-08-02,Fees - Own Solicitor,714.0,Footways - Uneven Surface,Combination Bruising/Swelling,
2196,N0PUL000718,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-03-21,2013-03-19,CLOSED,2016,2016-08-02,Fees - Own Solicitor,895.0,Footways - Kerbs,Legs Other:,
2197,N3PUL000116,2013,Public Liability,OPERATIONS NOT NOW INSURED,Broadmead Primary,2013-06-05,2013-07-05,CLOSED,2016,2016-08-02,Fees - Own Solicitor,936.0,Other,Arms Broken Bones,
2198,N3PUL000087,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-05-30,2013-06-27,CLOSED,2016,2016-08-02,Fees - Own Solicitor,1162.0,Footways - Other,Combination Bruising/Swelling,
2199,N0PUL000359,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-03-14,2010-04-15,CLOSED,2016,2016-08-02,Fees - Own Solicitor,1740.0,Carriageway - Pothole,Personal Injury (Not specified),Vehicle
2200,N2PUL000087,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-04-13,2012-06-26,CLOSED,2016,2016-08-02,Fees - Own Solicitor,2198.0,Carriageway - Pothole,Whiplash,
2201,N2PUL000007,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2012-04-03,2012-04-16,CLOSED,2016,2016-08-02,Fees - Own Solicitor,2238.0,Trees / Branches - Other,,Structural
2202,N2PUL000263,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-11,2012-12-10,CLOSED,2016,2016-08-02,Fees - Own Solicitor,2344.0,Carriageway - Pothole,Combination,
2203,N0PUL000182,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,PURLEY  MSCP,2010-07-06,2010-10-11,CLOSED,2016,2016-08-02,Fees - Own Solicitor,2917.0,Defective Equipment - Car Parking,Back Strains/Sprains,
2204,N1EL000007,2011,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",Keston Primary,2011-10-18,2012-03-19,CLOSED,2016,2016-08-02,Fees - Own Solicitor,4622.2,Falls/Slips,Ankle Broken/fractured,
2205,N3PUL000479,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2014-02-06,2014-02-18,CLOSED,2016,2016-08-02,Fees - TP Solicitor,4905.6,Footways - Other,Combination Bruising/Swelling,
2206,N3PUL000356,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2013-11-15,2013-12-11,CLOSED,2016,2016-08-03,Fees - Own Solicitor,532.0,Tree Roots / Subsidence,,Structural
2207,N4PUL000391,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,HOUSING,2014-10-01,2015-09-18,OPEN,2016,2016-08-03,Fees - Own Solicitor,674.0,Negligence of Council Worker,Head Psychological,Unknown
2208,N0PUL000699,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-01-26,2011-10-31,CLOSED,2016,2016-08-03,Fees - Own Solicitor,807.0,Carriageway - Pothole,Combination,
2209,N2EL000012,2012,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",All Saints Primary,2012-07-18,2014-07-04,CLOSED,2016,2016-08-03,Fees - Own Solicitor,1564.0,Other,Back,
2210,N3PUL000356,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2013-11-15,2013-12-11,CLOSED,2016,2016-08-03,Fees - Own Solicitor,1600.88,Tree Roots / Subsidence,,Structural
2211,N2PUL000240,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-10-21,2012-11-26,CLOSED,2016,2016-08-03,Fees - Own Solicitor,1672.0,Footways - Uneven Surface,Combination Bruising/Swelling,
2212,N0PUL000691,2010,Public Liability,OPERATIONS NOT NOW INSURED,South Norwood Primary,2010-11-25,2011-09-08,CLOSED,2016,2016-08-03,Fees - Own Solicitor,2268.77,Falls / Slips - Other,Head Cuts/Scars,
2213,N0PUL000691,2010,Public Liability,OPERATIONS NOT NOW INSURED,South Norwood Primary,2010-11-25,2011-09-08,CLOSED,2016,2016-08-03,Fees Own Solicitor,2714.0,Falls / Slips - Other,Head Cuts/Scars,
2214,N0PUL000691,2010,Public Liability,OPERATIONS NOT NOW INSURED,South Norwood Primary,2010-11-25,2011-09-08,CLOSED,2016,2016-08-03,Fees - Own Solicitor,3016.87,Falls / Slips - Other,Head Cuts/Scars,
2215,N1PUL000382,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-03-07,2012-08-30,CLOSED,2016,2016-08-04,Fees - Own Solicitor,168.0,Footways - Manhole,Head Cuts/Scars,
2216,N1PUL000382,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-03-07,2012-08-30,CLOSED,2016,2016-08-04,Fees - Own Solicitor,327.0,Footways - Manhole,Head Cuts/Scars,
2217,N2PUL000182,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-07-12,2012-10-08,CLOSED,2016,2016-08-04,Fees - Own Solicitor,776.0,Footways - Kerbs,Ankle Broken/fractured,
2218,N2MF000048,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2012-09-09,2012-09-12,CLOSED,2016,2016-08-04,Fees - Own Solicitor,1000.0,Collision - Other,,
2219,N2EL000012,2012,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",All Saints Primary,2012-07-18,2014-07-04,CLOSED,2016,2016-08-04,Fees - Own Solicitor,1185.0,Other,Back,
2220,N3PUL000518,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Responsive Repairs,2014-01-24,2014-03-03,CLOSED,2016,2016-08-04,Fees - Own Solicitor,1316.0,Falls / Slips - Other,Combination Bruising/Swelling,
2221,N1PUL000372,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-03-21,2012-07-25,CLOSED,2016,2016-08-04,Fees - Own Solicitor,1767.0,Carriageway - Pothole,Foot Injury,
2222,N1PUL000400,2011,Public Liability,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2011-09-02,2014-05-13,CLOSED,2016,2016-08-04,Fees - Own Solicitor,2160.0,Other,Legs Broken Bones,
2223,N6MF000018,2016,Motor Fleet,DEVELOPMENT & ENVIRONMENT,STUBBS MEAD DEPOT,2016-05-26,2016-08-03,CLOSED,2016,2016-08-05,Compensation payment,100.0,Collision - Reversing,,Bodywork - Minor
2224,N4MF000055,2014,Motor Fleet,CHIEF EXECUTIVES OFFICE,Bernard Weatherill House,2014-10-17,2014-10-21,CLOSED,2016,2016-08-05,Fees - Own Solicitor,736.0,Collision - Hit rear,,Bumper - Front
2225,N5PUL000162,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2015-10-19,2015-10-19,CLOSED,2016,2016-08-05,Compensation payment,750.0,Tree Roots / Subsidence,,Personal Property
2226,N6PUL000054,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2016-06-24,2016-06-29,CLOSED,2016,2016-08-05,Compensation payment,2986.05,Damp / Condensation,,Goods/Equipment
2227,N3PUL000276,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-07-16,2013-11-25,CLOSED,2016,2016-08-05,Compensation payment,4000.0,Footways - Kerbs,Arms Other:,
2228,N5PUL000347,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Responsive Repairs,2016-03-31,2016-03-31,CLOSED,2016,2016-08-08,Compensation payment,750.0,Water Damage - Pipe / Radiator,,Personal Property
2229,N2PUL000243,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-08-22,2012-11-30,CLOSED,2016,2016-08-08,Fees - Own Solicitor,2907.97,Carriageway - Uneven Surface,Wrist Broken/fractured,
2230,N4PUL000313,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2015-01-09,2015-03-03,CLOSED,2016,2016-08-09,Fees - TP Solicitor,300.0,Footways - Pothole,Legs Bruising/Swelling,
2231,N6PUL000062,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,Parks,2016-05-27,2016-07-05,CLOSED,2016,2016-08-11,Compensation Payment,1315.24,Defective Equipment - Car Parking,,Vehicle
2232,N6MF000006,2016,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Priory  SLD & Autism,2016-05-17,2016-05-20,CLOSED,2016,2016-08-11,Compensation Payment,2409.96,Collision - Hit rear,,Bodywork - Minor
2233,N3PUL000015,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-04-17,2013-04-24,CLOSED,2016,2016-08-11,Compensation payment,3000.0,Footways - Roots,Combination Bruising/Swelling,
2234,N6PUL000039,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,HOUSING,2016-06-08,2016-06-13,CLOSED,2016,2016-08-12,Compensation payment,125.0,Defective Premises,,Personal Property
2235,N6FB000002,2016,Fire Blanket,OPERATIONS NOT NOW INSURED,Woodside Primary School,2016-05-06,2016-05-09,CLOSED,2016,2016-08-12,Compensation payment,260.0,Impact Damage,,Walls/Fences/Gates/Railings
2236,N1PUL000255,2011,Public Liability,OPERATIONS NOT NOW INSURED,Edenham High,2011-09-26,2012-01-24,CLOSED,2016,2016-08-12,Fees - Own Solicitor,476.0,Inadequate Training / Supervision,Torso Other,
2237,N6SAR000002,2016,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Rockmount Primary,2016-06-06,2016-06-07,CLOSED,2016,2016-08-12,Compensation payment,732.63,Accidental Damage,,Glass Structures
2238,N5IF000004,2015,Insurance Fund,DEVELOPMENT & ENVIRONMENT,Car Parking,2016-03-29,2016-04-18,CLOSED,2016,2016-08-12,Compensation payment,2365.0,Malicious Damage/Vandalism - Other,,Various
2239,N5IF000005,2015,Insurance Fund,DEVELOPMENT & ENVIRONMENT,Car Parking,2016-03-29,2016-04-18,CLOSED,2016,2016-08-12,Compensation payment,2365.0,Malicious Damage/Vandalism - Other,,Various
2240,N6IF000001,2016,Insurance Fund,DEVELOPMENT & ENVIRONMENT,Car Parking,2016-04-15,2016-04-18,CLOSED,2016,2016-08-12,Compensation payment,2365.0,Malicious Damage/Vandalism - Other,,Various
2241,N1PUL000365,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-08-30,2012-07-09,CLOSED,2016,2016-08-12,Fees - Own Solicitor,2464.0,Footways - Slabs,Arms Broken Bones,
2242,N4PUL000313,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2015-01-09,2015-03-03,CLOSED,2016,2016-08-12,Compensation Payment,6225.0,Footways - Pothole,Legs Bruising/Swelling,
2243,N2PUL000263,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-11,2012-12-10,CLOSED,2016,2016-08-16,Fees - Own Solicitor,968.0,Carriageway - Pothole,Combination,
2244,N2PUL000087,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-04-13,2012-06-26,CLOSED,2016,2016-08-16,Fees - Own Solicitor,1422.0,Carriageway - Pothole,Whiplash,
2245,N4PUL000388,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2014-11-16,2015-08-14,CLOSED,2016,2016-08-19,Fees - TP Solicitor,360.0,Footways - Uneven Surface,Legs Strains/Sprains,
2246,N0PUL000158,2010,Public Liability,"CHILDREN, FAMILIES & LEARNERS",Thomas More,2010-05-21,2010-09-16,CLOSED,2016,2016-08-26,Fees - TP Solicitor,15000.0,Defective Premises,Combination Bruising/Swelling,
2247,N3PUL000015,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-04-17,2013-04-24,CLOSED,2016,2016-08-31,Fees - TP Solicitor,15000.0,Footways - Roots,Combination Bruising/Swelling,
2248,N2PUL000536,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-03-23,2014-11-28,CLOSED,2016,2016-09-02,Fees - TP Solicitor,4700.0,Footways - Trench,Ankle Broken/fractured,
2249,N1PUL000204,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2011-11-18,2011-12-06,CLOSED,2016,2016-09-05,Fees - Own Solicitor,280.0,Falls / Slips - Steps,Combination Bruising/Swelling,
2250,N1PUL000204,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2011-11-18,2011-12-06,CLOSED,2016,2016-09-05,Fees - Own Solicitor,1054.0,Falls / Slips - Steps,Combination Bruising/Swelling,
2251,N3EL000008,2013,Employers Liability,CHIEF EXECUTIVES OFFICE,Asset & Facilities Management,2013-11-03,2013-12-11,CLOSED,2016,2016-09-05,Fees - TP Solicitor,2127.0,Defective Premises,Legs Bruising/Swelling,
2252,N3PUL000070,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-04-22,2013-06-11,CLOSED,2016,2016-09-06,Fees - Own Solicitor,424.0,Footways - Uneven Surface,Combination Bruising/Swelling,
2253,N3EL000011,2013,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",Bensham Manor  MLD Secondary,2013-07-13,2014-05-22,CLOSED,2016,2016-09-07,Compensation payment,3500.0,Inadequate Training/Super,Combination Bruising/Swelling,
2254,N3PUL000519,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2014-01-13,2014-01-22,CLOSED,2016,2016-09-13,Compensation Payment,4500.0,Tree Roots / Subsidence,,Structural
2255,N4PUL000388,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2014-11-16,2015-08-14,CLOSED,2016,2016-09-13,Compensation Payment,5000.0,Footways - Uneven Surface,Legs Strains/Sprains,
2256,N2PUL000263,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-11,2012-12-10,CLOSED,2016,2016-09-13,Fees - TP Solicitor,16250.0,Carriageway - Pothole,Combination,
2257,N6MF000010,2016,Motor Fleet,DEVELOPMENT & ENVIRONMENT,STUBBS MEAD DEPOT,2016-06-09,2016-06-10,CLOSED,2016,2016-09-14,Compensation Payment,572.27,Collision - Other,,Bodywork - Minor
2258,N2MF000128,2012,Motor Fleet,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2013-03-21,2013-03-25,CLOSED,2016,2016-09-16,Compensation Payment,2500.0,Collision - Overtaking,,Bumper - Front
2259,N1PUL000203,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2011-11-30,2011-12-05,OPEN,2016,2016-09-19,Fees Own Solicitor,450.0,Tree Roots / Subsidence,,Structural
2260,N2PUL000047,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2012-04-25,2012-05-10,CLOSED,2016,2016-09-19,Fees Own Solicitor,525.0,Tree Roots / Subsidence,,Structural
2261,N5EL000002,2015,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",Selhurst Children's Centre,2015-09-04,2015-10-12,CLOSED,2016,2016-09-19,Fees - TP Solicitor,588.0,Defective Equipment,Broken Bones,
2262,N5PUL000342,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2016-03-28,2016-03-28,CLOSED,2016,2016-09-19,Compensation payment,664.0,Trees / Branches - Falling,,Vehicle
2263,N5PUL000144,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2015-10-05,2015-10-05,CLOSED,2016,2016-09-19,Compensation payment,790.0,Tree Roots / Subsidence,,Structural
2264,N5PUL000073,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2015-06-18,2015-07-10,CLOSED,2016,2016-09-20,Fees - TP Solicitor,300.0,Carriageway - Kerb,Legs Bruising/Swelling,
2265,N5PUL000073,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2015-06-18,2015-07-10,CLOSED,2016,2016-09-20,CRU,647.0,Carriageway - Kerb,Legs Bruising/Swelling,
2266,N5PUL000073,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2015-06-18,2015-07-10,CLOSED,2016,2016-09-20,Compensation Payment,2572.8,Carriageway - Kerb,Legs Bruising/Swelling,
2267,N6MF000021,2016,Motor Fleet,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2016-08-15,2016-08-16,CLOSED,2016,2016-09-21,Compensation payment,1452.28,Collision - Reversing,,Bodywork - Minor
2268,N2PUL000543,2012,Public Liability,"CHILDREN, FAMILIES & LEARNERS","CHILDREN, FAMILIES & LEARNING",2012-10-02,2015-11-05,CLOSED,2016,2016-09-22,Fees - Own Solicitor,3570.0,Inadequate Training / Supervision,Unknown At Conversion,
2269,N5PUL000073,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2015-06-18,2015-07-10,CLOSED,2016,2016-09-26,Fees - TP Solicitor,600.0,Carriageway - Kerb,Legs Bruising/Swelling,
2270,N6MF000010,2016,Motor Fleet,DEVELOPMENT & ENVIRONMENT,STUBBS MEAD DEPOT,2016-06-09,2016-06-10,CLOSED,2016,2016-09-26,Compensation Payment,722.64,Collision - Other,,Bodywork - Minor
2271,N5PUL000073,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Tenancy & Neighbourhood Services,2015-06-18,2015-07-10,CLOSED,2016,2016-09-26,Fees - TP Solicitor,760.0,Carriageway - Kerb,Legs Bruising/Swelling,
2272,N2PUL000243,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-08-22,2012-11-30,CLOSED,2016,2016-09-26,Fees - TP Solicitor,11000.0,Carriageway - Uneven Surface,Wrist Broken/fractured,
2273,N3PUL000519,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2014-01-13,2014-01-22,CLOSED,2016,2016-09-27,Fees Own Solicitor,500.0,Tree Roots / Subsidence,,Structural
2274,N1PUL000225,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-18,2012-01-04,CLOSED,2016,2016-09-29,Fees - Own Solicitor,84.0,Footways - Kerbs,Ankle Broken/fractured,
2275,N6PUL000111,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2016-08-15,2016-08-23,CLOSED,2016,2016-09-29,Compensation payment,118.55,Carriageway - Pothole,,Vehicle
2276,N1PUL000225,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-18,2012-01-04,CLOSED,2016,2016-09-29,Fees - Own Solicitor,192.0,Footways - Kerbs,Ankle Broken/fractured,
2277,N3PUL000191,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2013-08-22,2013-08-29,CLOSED,2016,2016-09-29,Fees - Own Solicitor,259.2,Tree Roots / Subsidence,,Structural
2278,N4PUL000351,2014,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2015-03-11,2015-03-16,CLOSED,2016,2016-09-29,Fees Own Solicitor,375.0,Tree Roots / Subsidence,,Structural
2279,N1PUL000225,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-18,2012-01-04,CLOSED,2016,2016-09-29,Fees - Own Solicitor,753.0,Footways - Kerbs,Ankle Broken/fractured,
2280,N1PUL000225,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-18,2012-01-04,CLOSED,2016,2016-09-29,Fees - Own Solicitor,878.0,Footways - Kerbs,Ankle Broken/fractured,
2281,N2MF000128,2012,Motor Fleet,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2013-03-21,2013-03-25,CLOSED,2016,2016-09-29,Fees - TP Solicitor,3849.0,Collision - Overtaking,,Bumper - Front
2282,N3MF000083,2013,Motor Fleet,DEVELOPMENT & ENVIRONMENT,PLANNING & ENVIRONMENT,2013-12-05,2013-12-06,CLOSED,2016,2016-09-30,Fees - Own Solicitor,585.0,Collision - Junction,,Bodywork - Minor
2283,N4FB000014,2014,Fire Blanket,DEVELOPMENT & ENVIRONMENT,Housing - Other,2014-04-01,2015-02-02,CLOSED,2016,2016-09-30,Compensation payment,2827.65,Subsidence,,Structural
2284,N6SAR000003,2016,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Rockmount Primary,2016-06-09,2016-06-09,CLOSED,2016,2016-09-30,Compensation payment,3238.0,Accidental Damage,,Door - Internal
2285,N6FB000006,2016,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",Woodcote Primary,2016-06-23,2016-07-15,CLOSED,2016,2016-09-30,Compensation payment,4266.8,Malicious Damage/Vandalism - External,,Roof
2286,N4FB000014,2014,Fire Blanket,DEVELOPMENT & ENVIRONMENT,Housing - Other,2014-04-01,2015-02-02,CLOSED,2016,2016-09-30,Compensation payment,4500.0,Subsidence,,Structural
2287,N6PUL000067,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2016-07-08,2016-07-11,CLOSED,2016,2016-10-04,Fees Own Solicitor,60.0,Carriageway - Kerb,,Vehicle
2288,N2PUL000263,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-11,2012-12-10,CLOSED,2016,2016-10-04,Fees - Own Solicitor,77.0,Carriageway - Pothole,Combination,
2289,N2PUL000263,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-11,2012-12-10,CLOSED,2016,2016-10-04,Fees - Own Solicitor,253.0,Carriageway - Pothole,Combination,
2290,N2EL000010,2012,Employers Liability,OPERATIONS NOT NOW INSURED,Edenham High,2013-03-08,2013-10-21,CLOSED,2016,2016-10-05,Fees - Own Solicitor,587.0,Falls/Slips,Legs Other:,
2291,N0EL000009,2010,Employers Liability,OPERATIONS NOT NOW INSURED,Broadmead Primary,2011-03-29,2011-05-04,CLOSED,2016,2016-10-05,Fees Own Solicitor,1000.0,Falls/Slips,Legs Strains/Sprains,
2292,N2PUL000542,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-02-08,2015-10-30,CLOSED,2016,2016-10-05,Fees - Own Solicitor,1212.0,"Ice, Snow & Frost - Other",Combination Bruising/Swelling,
2293,N5PUL000232,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2015-12-08,2015-12-08,CLOSED,2016,2016-10-06,Fees Own Solicitor,450.0,Tree Roots / Subsidence,,Structural
2294,N3EL000006,2013,Employers Liability,OPERATIONS NOT NOW INSURED,Atwood Primary,2013-04-24,2013-11-01,CLOSED,2016,2016-10-06,Fees - Own Solicitor,889.0,Lifting/Moving,Arms Other:,
2295,N5PUL000360,2015,Public Liability,ADULT SOCIAL SERVICES,Mental Health,2015-05-25,2016-04-20,CLOSED,2016,2016-10-06,Fees - Own Solicitor,1002.8,Other,,
2296,N6PUL000067,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2016-07-08,2016-07-11,CLOSED,2016,2016-10-07,Compensation payment,459.77,Carriageway - Kerb,,Vehicle
2297,N5PUL000373,2015,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2016-02-13,2016-07-11,CLOSED,2016,2016-10-10,Compensation payment,104.4,Carriageway - Pothole,,Vehicle
2298,N3PUL000339,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-12-31,2014-01-02,CLOSED,2016,2016-10-10,Fees - Own Solicitor,600.0,Carriageway - Obstruction,,Vehicle
2299,N2PUL000160,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-08-25,2012-09-19,CLOSED,2016,2016-10-10,Fees - Own Solicitor,823.0,Footways - Kerbs,Hand Injury,
2300,N2PUL000240,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-10-21,2012-11-26,CLOSED,2016,2016-10-10,Fees - Own Solicitor,2175.0,Footways - Uneven Surface,Combination Bruising/Swelling,
2301,N1PUL000274,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2012-01-19,2012-01-27,CLOSED,2016,2016-10-10,Fees - Own Solicitor,2276.0,Tree Roots / Subsidence,,Structural
2302,N3PUL000640,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-12-23,2014-09-04,CLOSED,2016,2016-10-10,Fees - TP Solicitor,2863.68,Footways - Gullies,Hand Injury,
2303,N2PUL000492,2012,Public Liability,OPERATIONS NOT NOW INSURED,South Norwood Primary,2012-10-05,2013-05-02,CLOSED,2016,2016-10-11,Fees - Own Solicitor,441.0,Inadequate Training / Supervision,Combination Cuts/Scars,
2304,N6PUL000034,2016,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing Responsive Repairs,2016-05-28,2016-06-06,CLOSED,2016,2016-10-11,Compensation Payment,4250.0,Footways - Uneven Surface,Combination Bruising/Swelling,
2305,N2PUL000109,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,ASHBURTON PLAYING FIELDS,2012-04-19,2012-06-25,CLOSED,2016,2016-10-11,Fees - TP Solicitor,7666.67,Falls / Slips - Other,Legs Strains/Sprains,
2306,N3PUL000479,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2014-02-06,2014-02-18,CLOSED,2016,2016-10-13,Fees - Own Solicitor,44.0,Footways - Other,Combination Bruising/Swelling,
2307,N0PUL000182,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,PURLEY  MSCP,2010-07-06,2010-10-11,CLOSED,2016,2016-10-13,Fees - Own Solicitor,84.0,Defective Equipment - Car Parking,Back Strains/Sprains,
2308,N3PUL000270,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-07-16,2013-11-15,CLOSED,2016,2016-10-13,Fees - Own Solicitor,187.0,Carriageway - Pothole,Foot Injury,
2309,N3PUL000116,2013,Public Liability,OPERATIONS NOT NOW INSURED,Broadmead Primary,2013-06-05,2013-07-05,CLOSED,2016,2016-10-13,Fees - Own Solicitor,408.0,Other,Arms Broken Bones,
2310,N2PUL000109,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,ASHBURTON PLAYING FIELDS,2012-04-19,2012-06-25,CLOSED,2016,2016-10-13,Fees - Own Solicitor,644.0,Falls / Slips - Other,Legs Strains/Sprains,
2311,N1PUL000396,2011,Public Liability,ADULT SOCIAL SERVICES,Adult Social Services - Other,2012-01-10,2013-10-30,OPEN,2016,2016-10-13,Fees - Own Solicitor,691.0,Other,Ankle Broken/fractured,
2312,N3PUL000479,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2014-02-06,2014-02-18,CLOSED,2016,2016-10-13,Fees - Own Solicitor,737.0,Footways - Other,Combination Bruising/Swelling,
2313,N6MF000005,2016,Motor Fleet,DEVELOPMENT & ENVIRONMENT,HOUSING,2016-05-18,2016-05-18,CLOSED,2016,2016-10-13,Compensation payment,826.84,Collision - Hit parked vehicle,,
2314,N1PUL000400,2011,Public Liability,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2011-09-02,2014-05-13,CLOSED,2016,2016-10-13,Fees - Own Solicitor,996.0,Other,Legs Broken Bones,
2315,N3PUL000070,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-04-22,2013-06-11,CLOSED,2016,2016-10-13,Fees - Own Solicitor,1035.0,Footways - Uneven Surface,Combination Bruising/Swelling,
2316,N3PUL000070,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-04-22,2013-06-11,CLOSED,2016,2016-10-13,Fees - Own Solicitor,1062.0,Footways - Uneven Surface,Combination Bruising/Swelling,
